 NUM SISTEMA        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ
XXXX XXXXXXXXXX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX   XXXXX.XX
   1 SUDESTE       8292.58   10344.94    8191.72    6547.69    3027.99    2277.92    1911.57    1634.39    1269.41    2387.29    2848.77    3349.98
   6 MADEIRA       5091.18    7340.76    9895.44    7818.36    5689.91    3453.49    1989.32    1365.07     851.54     912.21    1598.67    4157.37
   7 TPIRES        1480.31    2657.37    2744.95    3320.30    1677.83     924.33     652.56     510.60     410.25     582.79     620.35     751.19
   5 ITAIPU        3025.05    2375.58    2032.41    3831.26    2293.63    1972.99    2025.24    1694.36    1762.99    1770.40    6322.60    4748.09
  10 PARANA       17821.80   19210.15   21707.38   23388.96   10265.22    8684.81    7249.37    5883.42    4541.94    7339.83   10655.46   12674.20
  12 PRNPANEMA     1384.89    1654.41    1336.74    1280.31     889.12     867.34    1085.48     802.16     699.80     777.62    4434.27    2466.92
   2 SUL           6978.51    4153.59    5471.79    5636.43   22654.72   11617.79   11768.99    3497.01    3743.37    6670.15   27483.47    9545.95
  11 IGUACU        3392.61    3032.56    4257.65    3920.95    6988.02    4564.38    7735.79    2787.33    2779.70    3631.96   19385.73    5945.33
   3 NORDESTE      6410.21    9634.44    8608.22    8077.41    3015.24    1840.42    1628.19    1382.26    1199.49    1358.01    2162.11    1789.34
   4 NORTE         4021.12   10047.40   11456.33   13276.68    6496.10    2328.53    1357.97     982.67     784.73    1208.42    1235.35    1622.79
   8 BMONTE        2174.41    6114.06    7077.97    8565.55    7412.23    2093.99     591.41     128.28      89.21      77.96     118.04     425.93
   9 MAN-AP         578.15     515.26     773.34    1442.70    1754.97    1349.42     770.96     431.69     247.11     129.02     136.30     259.96
