 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2024                                                                                       18.     18.
2025       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2024                                                                                     2487.   2781.
2025     2849.   2696.   2602.   2053.   1665.   1876.   2010.   2159.   2236.   2407.   2611.   2920.
2026     2992.   2831.   2732.   2156.   1748.   1970.   2111.   2267.   2348.   2527.   2741.   3066.
2027     3141.   2973.   2869.   2264.   1836.   2068.   2216.   2380.   2465.   2653.   2878.   3220.
2028     3298.   3014.   3012.   2377.   1928.   2172.   2327.   2499.   2588.   2786.   3022.   3381.
POS      3298.   3014.   3012.   2377.   1928.   2172.   2327.   2499.   2588.   2786.   3022.   3381.
   1  SUDESTE            MMGD SE
2024                                                                                     2643.   2638.
2025     2612.   2803.   2676.   2692.   2510.   2468.   2528.   2865.   2704.   2657.   2546.   2638.
2026     2612.   2803.   2676.   2692.   2510.   2468.   2528.   2865.   2704.   2657.   2546.   2638.
2027     2612.   2803.   2676.   2692.   2510.   2468.   2528.   2865.   2704.   2657.   2546.   2638.
2028     2612.   2803.   2676.   2692.   2510.   2468.   2528.   2865.   2704.   2657.   2546.   2638.
POS      2612.   2803.   2676.   2692.   2510.   2468.   2528.   2865.   2704.   2657.   2546.   2638.
   2      SUL             MMGD S
2024                                                                                     1282.   1266.
2025     1242.   1254.   1222.   1126.    959.    873.    914.   1092.   1036.   1129.   1249.   1266.
2026     1242.   1254.   1222.   1126.    959.    873.    914.   1092.   1036.   1129.   1249.   1266.
2027     1242.   1254.   1222.   1126.    959.    873.    914.   1092.   1036.   1129.   1249.   1266.
2028     1242.   1254.   1222.   1126.    959.    873.    914.   1092.   1036.   1129.   1249.   1266.
POS      1242.   1254.   1222.   1126.    959.    873.    914.   1092.   1036.   1129.   1249.   1266.
   3 NORDESTE            MMGD NE
2024                                                                                     1045.    982.
2025      959.    978.    988.    918.    868.    835.    868.    968.   1028.   1024.   1015.    982.
2026      959.    978.    988.    918.    868.    835.    868.    968.   1028.   1024.   1015.    982.
2027      959.    978.    988.    918.    868.    835.    868.    968.   1028.   1024.   1015.    982.
2028      959.    978.    988.    918.    868.    835.    868.    968.   1028.   1024.   1015.    982.
POS       959.    978.    988.    918.    868.    835.    868.    968.   1028.   1024.   1015.    982.
   4    NORTE          BOA VISTA
2024                                                                                        0.      0.
2025        0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
2026        0.    171.    187.    178.    171.    164.    155.    169.    180.    184.    171.    166.
2027      169.    175.    191.    183.    175.    168.    159.    173.    185.    188.    175.    170.
2028      173.    173.    196.    188.    180.    172.    163.    177.    190.    193.    179.    175.
POS       173.    173.    196.    188.    180.    172.    163.    177.    190.    193.    179.    175.
   4    NORTE             MMGD N
2024                                                                                      369.    333.
2025      323.    329.    331.    333.    339.    356.    361.    395.    389.    368.    353.    333.
2026      323.    338.    339.    341.    347.    364.    369.    404.    398.    377.    362.    341.
2027      331.    338.    339.    341.    347.    364.    369.    404.    398.    377.    362.    341.
2028      331.    338.    339.    341.    347.    364.    369.    404.    398.    377.    362.    341.
POS       331.    338.    339.    341.    347.    364.    369.    404.    398.    377.    362.    341.
 999
